start_x,start_y,size
0.0,3.0,5034
0.0,4.0,4104
0.0,5.0,5367
0.0,6.0,5333
0.0,9.0,620
0.0,10.0,5295
0.0,11.0,4488
0.0,12.0,4216
0.0,13.0,3146
0.0,14.0,3442
0.0,15.0,2879
1.0,3.0,13494
1.0,4.0,5966
1.0,5.0,13253
1.0,6.0,14420
1.0,7.0,2792
1.0,8.0,3320
1.0,9.0,1721
1.0,10.0,2033
1.0,11.0,5024
1.0,12.0,945
1.0,13.0,1179
1.0,14.0,160
1.0,15.0,1314
2.0,3.0,3004
2.0,4.0,10605
2.0,5.0,13861
2.0,6.0,6658
2.0,7.0,12789
2.0,8.0,9863
2.0,9.0,15019
2.0,10.0,11022
2.0,11.0,2714
2.0,12.0,2778
2.0,13.0,1368
2.0,15.0,17
3.0,3.0,5739
3.0,4.0,20076
3.0,5.0,12174
3.0,6.0,13713
3.0,7.0,12514
3.0,8.0,24044
3.0,9.0,21302
3.0,10.0,20400
3.0,11.0,14033
3.0,12.0,10872
3.0,13.0,4845
4.0,3.0,15177
4.0,4.0,14565
4.0,5.0,25208
4.0,6.0,11690
4.0,7.0,24395
4.0,8.0,33273
4.0,9.0,19723
4.0,10.0,4240
4.0,11.0,22100
4.0,12.0,4102
4.0,13.0,2141
5.0,3.0,6774
5.0,4.0,4576
5.0,5.0,7963
5.0,6.0,24763
5.0,7.0,11181
5.0,8.0,22167
5.0,9.0,18443
5.0,10.0,8049
5.0,11.0,16786
5.0,12.0,6590
6.0,4.0,6054
6.0,5.0,12408
6.0,6.0,11768
6.0,7.0,14928
6.0,8.0,19766
6.0,9.0,8458
6.0,10.0,19690
6.0,11.0,18278
6.0,12.0,7221
6.0,13.0,2405
6.0,15.0,61
7.0,5.0,5612
7.0,6.0,3958
7.0,7.0,6737
7.0,8.0,8442
7.0,9.0,5793
7.0,10.0,4618
7.0,11.0,4425
7.0,12.0,7754
7.0,13.0,3081
7.0,14.0,3023
